date,water_level,volume,TDS,K,Na,Mg,Ca,SO4,Cl,HCO3,CO3,density
8/12/2009,1271.76,5.78,392,1.966841787,70.87044047,26.97825316,0.184464584,10.56710436,89.27179061,0.161105034,0,1.21312
8/12/2009,1271.76,5.78,393,2.069152599,70.17126204,27.60595451,0.153630856,10.88030052,88.95261121,0.167088274,0,1.22556
8/12/2009,1271.76,5.78,391,2.035899127,69.0435356,28.80122698,0.119338299,11.19138057,88.63662075,0.171998677,0,1.2168
8/12/2009,1271.76,5.78,390,1.988007585,67.41938765,30.37197266,0.220632104,11.50088908,88.32771168,0.171399241,0,1.22142
8/12/2009,1271.76,5.78,387,1.972525603,66.89434652,30.95121351,0.181914359,11.19061066,88.63052302,0.178866318,0,1.22488
8/12/2009,1271.76,5.78,390,2.338157442,67.39992974,30.1420347,0.119878118,13.0152224,86.80555159,0.179226013,0,1.21354
8/12/2009,1271.76,5.78,394,2.71300384,65.17107051,31.98870313,0.127222517,13.42242431,86.39525704,0.182318644,0,1.2226
8/12/2009,1271.76,5.78,396,2.304143176,66.41943156,31.15540974,0.121015517,12.30087954,87.51062726,0.188493202,0,1.21902
10/5/2009,1271.57,5.16,375,2.17244133,66.781708,30.89221867,0.153632001,15.74287947,83.87209308,0.385027447,0,1.225
10/5/2009,1271.57,5.16,371,2.358306208,63.16476071,34.3353609,0.141572176,14.38374156,85.2737293,0.342529135,0,1.225
10/5/2009,1271.57,5.16,390,2.767181723,66.60269548,30.4784503,0.151672502,14.38374156,85.2737293,0.342529135,0,1.225
10/5/2009,1271.57,5.16,393,2.352321955,63.43767048,34.06480936,0.145198201,17.48689404,82.07264369,0.440462269,0,1.225
10/5/2009,1271.57,5.16,393,2.359309706,65.7549962,31.74914175,0.136552344,16.27692891,83.33870968,0.384361408,0,1.223
10/5/2009,1271.57,5.16,404,2.292866674,61.84299297,35.73567285,0.128467505,16.01126399,83.61806148,0.370674538,0,1.225
10/5/2009,1271.57,5.16,399,2.853444328,59.25482363,37.77498672,0.116745318,18.96014081,80.59213675,0.447722446,0,1.237
10/5/2009,1271.57,5.16,400,2.780580484,51.71753619,45.37313557,0.128747755,22.59559191,76.79461433,0.609793764,0,1.237
5/5/2010,1271.93,6.42,368,1.239746358,66.9407245,31.74867569,0.070853457,12.60077492,87.12217814,0.277046932,0,1.215
5/5/2010,1271.93,6.42,392,1.259537216,66.41287833,32.2635982,0.063986254,12.59985631,87.11582678,0.284316912,0,1.218
5/5/2010,1271.93,6.42,376,1.176869885,68.61739864,30.13847151,0.067259967,11.36290898,88.38397318,0.253117837,0,1.216
5/5/2010,1271.93,6.42,391,1.284922446,70.68294127,27.96686042,0.065275859,11.95090328,87.79325289,0.255843831,0,1.21
5/5/2010,1271.93,6.42,368,1.248328342,71.51797906,27.16234866,0.071343931,11.94987041,87.78566525,0.264464345,0,1.21
5/5/2010,1271.93,6.42,360,1.141224898,70.30002433,28.50802193,0.050728845,13.88048456,85.86801399,0.251501446,0,1.2
5/5/2010,1271.93,6.42,358,1.146931656,67.45334456,31.32203614,0.077687645,13.42942894,86.32289717,0.247673894,0,1.161
5/5/2010,1271.93,6.42,356,1.160430002,70.24755853,28.49474154,0.097269923,10.61627529,89.1301275,0.253597208,0,1.191
7/18/2010,1271.7,5.46,409,1.532988376,66.74420603,31.66439713,0.058408467,12.84456459,86.93201313,0.22342228,0,1.237
7/18/2010,1271.7,5.46,407,1.119667,67.26903353,31.54019865,0.071100814,13.42980483,86.34827315,0.221922021,0,1.237
7/18/2010,1271.7,5.46,413,1.357943137,67.27405492,31.30887159,0.059130354,12.84456459,86.93201313,0.22342228,0,1.236
7/18/2010,1271.7,5.46,401,1.449779604,64.26334494,34.23163733,0.055238125,12.84456459,86.93201313,0.22342228,0,1.235
7/18/2010,1271.7,5.46,408,1.552642412,62.58158136,35.82140825,0.04436798,14.00576762,85.76331762,0.230914764,0,1.235
7/18/2010,1271.7,5.46,413,1.635633833,65.30472533,32.98953155,0.070109287,12.25135769,87.52369935,0.224942961,0,1.235
7/18/2010,1271.7,5.46,395,1.122057594,69.81748363,28.97495563,0.085503145,11.48223505,88.30882592,0.208939031,0,1.22
7/18/2010,1271.7,5.46,403,1.163427641,71.9626533,26.75571155,0.118207506,10.8417881,88.94208708,0.216124825,0,1.229
